model,wiki_ppl
gemma_2b_baseline,13.849008560180664
gemma_2b_fplut,13.6531982421875
gemma_2b_instruct_baseline,42.248653411865234
gemma_2b_instruct_fplut,42.15045928955078
gemma_2b_instruct_nnlut,42.695777893066406
gemma_2b_nnlut,13.955306053161621
llama3.2_1b_baseline,9.74885368347168
llama3.2_1b_fplut,9.776983261108398
llama3.2_1b_nnlut,11.9690580368042
llama3.2_3b_baseline,7.816515922546387
llama3.2_3b_fplut,7.8247480392456055
llama3.2_3b_nnlut,8.947540283203125
llama3_8b_baseline,6.135253429412842
llama3_8b_fplut,6.155683517456055
llama3_8b_nnlut,9.99221420288086
qwen2.5_0.5b_baseline,14.283994674682617
qwen2.5_0.5b_fplut,14.264899253845215
qwen2.5_0.5b_nnlut,15.039348602294922
qwen2.5_1.5b_baseline,10.048430442810059
qwen2.5_1.5b_fplut,10.058114051818848
qwen2.5_1.5b_nnlut,10.37628173828125
qwen2.5_3b_baseline,8.564119338989258
qwen2.5_3b_fplut,8.57512378692627
qwen2.5_3b_nnlut,8.840703010559082
qwen2.5_7b_baseline,8.35052490234375
qwen2.5_7b_fplut,8.3532075881958
qwen2.5_7b_nnlut,8.655340194702148
qwen3_8b_baseline,9.724691390991211
qwen3_8b_fplut,38856.7265625
qwen3_8b_nnlut,36206.84765625
smollm_1.7b_baseline,13.440022468566895
smollm_1.7b_fplut,13.437894821166992
smollm_1.7b_nnlut,14.051602363586426
smollm_135m_baseline,20.950801849365234
smollm_135m_fplut,20.939746856689453
smollm_135m_nnlut,22.616182327270508
smollm_360m_baseline,12.750981330871582
smollm_360m_fplut,12.786705017089844
smollm_360m_nnlut,13.47767448425293
smollm_3b_baseline,9.125782012939453
smollm_3b_fplut,12.083669662475586
smollm_3b_nnlut,18.743574142456055
tinyllama_1.1b_baseline,7.774702548980713
tinyllama_1.1b_fplut,7.7878875732421875
tinyllama_1.1b_nnlut,80.91901397705078
